Activity,Timestamp,Value
Clean Cycle Complete,7/29 5:24AM,-
Clean Cycle In Progress,7/29 5:21AM,-
Pet Weight Recorded ,7/29 5:06AM,9.5 lbs
Cat Detected,7/29 5:05AM,-
Clean Cycle Complete,7/29 12:48AM,-
Clean Cycle In Progress,7/29 12:46AM,-
Pet Weight Recorded ,7/29 12:31AM,20.1 lbs
Cat Detected,7/29 12:30AM,-
Clean Cycle Complete,7/29 12:21AM,-
Pet Weight Recorded ,7/29 12:21AM,6.9 lbs
Cycle Interrupted,7/29 12:21AM,-
Clean Cycle In Progress,7/29 12:19AM,-
Pet Weight Recorded ,7/29 12:04AM,12.0 lbs
Pet Weight Recorded ,7/29 12:03AM,12.1 lbs
Pet Weight Recorded ,7/28 11:59PM,6.9 lbs
Pet Weight Recorded ,7/28 11:58PM,7.0 lbs
Cat Detected,7/28 11:54PM,-
Clean Cycle Complete,7/28 8:53PM,-
Clean Cycle In Progress,7/28 8:51PM,-
Pet Weight Recorded ,7/28 8:36PM,15.0 lbs
Cat Detected,7/28 8:34PM,-
Clean Cycle Complete,7/28 7:37PM,-
Clean Cycle In Progress,7/28 7:35PM,-
Pet Weight Recorded ,7/28 7:20PM,20.0 lbs
Pet Weight Recorded ,7/28 7:19PM,20.1 lbs
Cat Detected,7/28 7:19PM,-
Clean Cycle Complete,7/28 6:21PM,-
Clean Cycle In Progress,7/28 6:19PM,-
Cat Detected,7/28 6:04PM,-
Clean Cycle Complete,7/28 5:27PM,-
Clean Cycle In Progress,7/28 5:25PM,-
Pet Weight Recorded ,7/28 5:10PM,15.2 lbs
Pet Weight Recorded ,7/28 5:08PM,9.4 lbs
Cat Detected,7/28 5:06PM,-
Clean Cycle Complete,7/28 4:20PM,-
Clean Cycle In Progress,7/28 4:18PM,-
Pet Weight Recorded ,7/28 4:03PM,15.0 lbs
Cat Detected,7/28 4:02PM,-
Clean Cycle Complete,7/28 10:27AM,-
Cycle Interrupted,7/28 10:25AM,-
Pet Weight Recorded ,7/28 10:24AM,5.9 lbs
Cycle Interrupted,7/28 10:24AM,-
Pet Weight Recorded ,7/28 10:23AM,14.9 lbs
Cycle Interrupted,7/28 10:21AM,-
Clean Cycle In Progress,7/28 10:21AM,-
Pet Weight Recorded ,7/28 10:05AM,20.0 lbs
Cat Detected,7/28 10:05AM,-
Clean Cycle Complete,7/28 9:40AM,-
Cycle Interrupted,7/28 9:40AM,-
Clean Cycle In Progress,7/28 9:38AM,-
Pet Weight Recorded ,7/28 9:23AM,14.9 lbs
Pet Weight Recorded ,7/28 9:16AM,9.5 lbs
Cat Detected,7/28 9:16AM,-
Clean Cycle Complete,7/28 8:51AM,-
Clean Cycle In Progress,7/28 8:49AM,-
Pet Weight Recorded ,7/28 8:34AM,15.1 lbs
Cat Detected,7/28 8:32AM,-
Clean Cycle Complete,7/28 8:32AM,-
Pet Weight Recorded ,7/28 8:30AM,15.1 lbs
Cycle Interrupted,7/28 8:29AM,-
Clean Cycle In Progress,7/28 8:29AM,-
Pet Weight Recorded ,7/28 8:14AM,20.0 lbs
Pet Weight Recorded ,7/28 8:12AM,20.0 lbs
Cat Detected,7/28 8:11AM,-
Clean Cycle Complete,7/28 1:45AM,-
Clean Cycle In Progress,7/28 1:43AM,-
Pet Weight Recorded ,7/28 1:28AM,9.5 lbs
Cat Detected,7/28 1:27AM,-
Clean Cycle Complete,7/27 11:02PM,-
Clean Cycle In Progress,7/27 11:00PM,-
Clean Cycle Complete,7/27 10:54PM,-
Clean Cycle In Progress,7/27 10:51PM,-
Cat Detected,7/27 10:36PM,-
Clean Cycle Complete,7/27 10:36PM,-
Pet Weight Recorded ,7/27 10:35PM,15.1 lbs
Cycle Interrupted,7/27 10:35PM,-
Pet Weight Recorded ,7/27 10:34PM,7.3 lbs
Cycle Interrupted,7/27 10:33PM,-
Clean Cycle In Progress,7/27 10:32PM,-
Pet Weight Recorded ,7/27 10:17PM,15.0 lbs
Cat Detected,7/27 10:15PM,-
Clean Cycle Complete,7/27 9:47PM,-
Clean Cycle In Progress,7/27 9:45PM,-
Pet Weight Recorded ,7/27 9:25PM,20.1 lbs
Pet Weight Recorded ,7/27 9:24PM,19.9 lbs
Pet Weight Recorded ,7/27 9:23PM,20.0 lbs
Cat Detected,7/27 9:22PM,-
Clean Cycle Complete,7/27 5:45PM,-
Clean Cycle In Progress,7/27 5:43PM,-
Pet Weight Recorded ,7/27 5:27PM,15.0 lbs
Cat Detected,7/27 5:26PM,-
Cat Detected,7/27 4:18PM,-
Clean Cycle Complete,7/27 4:14PM,-
Clean Cycle In Progress,7/27 4:12PM,-
Pet Weight Recorded ,7/27 3:56PM,9.4 lbs
Cat Detected,7/27 3:54PM,-
Clean Cycle Complete,7/27 12:51PM,-
Clean Cycle In Progress,7/27 12:49PM,-
Pet Weight Recorded ,7/27 12:34PM,15.0 lbs
Cat Detected,7/27 12:32PM,-
Clean Cycle Complete,7/27 11:32AM,-
Clean Cycle In Progress,7/27 11:30AM,-
Pet Weight Recorded ,7/27 11:15AM,15.2 lbs
Pet Weight Recorded ,7/27 11:12AM,9.4 lbs
Cat Detected,7/27 11:10AM,-
Clean Cycle Complete,7/27 10:34AM,-
Clean Cycle In Progress,7/27 10:32AM,-
Pet Weight Recorded ,7/27 10:17AM,15.1 lbs
Pet Weight Recorded ,7/27 10:15AM,20.1 lbs
Pet Weight Recorded ,7/27 10:05AM,15.0 lbs
Cat Detected,7/27 10:04AM,-
Clean Cycle Complete,7/27 7:21AM,-
Clean Cycle In Progress,7/27 7:19AM,-
Pet Weight Recorded ,7/27 7:04AM,9.5 lbs
Cat Detected,7/27 7:03AM,-
Clean Cycle Complete,7/27 12:59AM,-
Pet Weight Recorded ,7/27 12:57AM,7.3 lbs
Cycle Interrupted,7/27 12:57AM,-
Clean Cycle In Progress,7/27 12:56AM,-
Pet Weight Recorded ,7/27 12:41AM,15.0 lbs
Cat Detected,7/27 12:40AM,-
Clean Cycle Complete,7/27 12:15AM,-
Clean Cycle In Progress,7/27 12:13AM,-
Pet Weight Recorded ,7/26 11:58PM,15.1 lbs
Cat Detected,7/26 11:55PM,-
Clean Cycle Complete,7/26 11:01PM,-
Clean Cycle In Progress,7/26 10:59PM,-
Pet Weight Recorded ,7/26 10:43PM,9.4 lbs
Cat Detected,7/26 10:40PM,-
Clean Cycle Complete,7/26 9:31PM,-
Cycle Interrupted,7/26 9:28PM,-
Clean Cycle In Progress,7/26 9:28PM,-
Pet Weight Recorded ,7/26 9:13PM,15.3 lbs
Pet Weight Recorded ,7/26 9:09PM,9.6 lbs
Cat Detected,7/26 9:07PM,-
Clean Cycle Complete,7/26 9:03PM,-
Clean Cycle In Progress,7/26 9:01PM,-
Pet Weight Recorded ,7/26 8:46PM,20.1 lbs
Pet Weight Recorded ,7/26 8:45PM,20.0 lbs
Pet Weight Recorded ,7/26 8:35PM,19.8 lbs
Cat Detected,7/26 8:34PM,-
Clean Cycle Complete,7/26 4:16PM,-
Clean Cycle In Progress,7/26 4:14PM,-
Pet Weight Recorded ,7/26 3:59PM,14.9 lbs
Cat Detected,7/26 3:58PM,-
Clean Cycle Complete,7/26 11:11AM,-
Clean Cycle In Progress,7/26 11:08AM,-
Pet Weight Recorded ,7/26 10:53AM,20.0 lbs
Pet Weight Recorded ,7/26 10:50AM,15.0 lbs
Cat Detected,7/26 10:49AM,-
Clean Cycle Complete,7/26 10:27AM,-
Clean Cycle In Progress,7/26 10:25AM,-
Pet Weight Recorded ,7/26 10:10AM,19.9 lbs
Pet Weight Recorded ,7/26 10:09AM,19.9 lbs
Cat Detected,7/26 9:57AM,-
Clean Cycle Complete,7/26 9:45AM,-
Pet Weight Recorded ,7/26 9:44AM,7.5 lbs
Cycle Interrupted,7/26 9:44AM,-
Clean Cycle In Progress,7/26 9:43AM,-
Pet Weight Recorded ,7/26 9:28AM,15.1 lbs
Pet Weight Recorded ,7/26 9:20AM,9.6 lbs
Cat Detected,7/26 9:17AM,-
Clean Cycle Complete,7/26 7:56AM,-
Clean Cycle In Progress,7/26 7:53AM,-
Pet Weight Recorded ,7/26 7:34AM,15.1 lbs
Pet Weight Recorded ,7/26 7:28AM,9.6 lbs
Cat Detected,7/26 7:27AM,-
Clean Cycle Complete,7/26 2:08AM,-
Clean Cycle In Progress,7/26 2:05AM,-
Pet Weight Recorded ,7/26 1:50AM,14.9 lbs
Cat Detected,7/26 1:47AM,-
Clean Cycle Complete,7/26 1:23AM,-
Pet Weight Recorded ,7/26 1:23AM,15.0 lbs
Cycle Interrupted,7/26 1:22AM,-
Cycle Interrupted,7/26 1:21AM,-
Clean Cycle In Progress,7/26 1:20AM,-
Pet Weight Recorded ,7/26 1:04AM,20.0 lbs
Pet Weight Recorded ,7/26 1:03AM,19.9 lbs
Pet Weight Recorded ,7/26 1:00AM,19.9 lbs
Cat Detected,7/26 12:59AM,-
Clean Cycle Complete,7/25 11:27PM,-
Pet Weight Recorded ,7/25 11:27PM,15.1 lbs
Cycle Interrupted,7/25 11:26PM,-
