Activity,Timestamp,Value
Cat Detected,9/27 11:23AM,-
Clean Cycle Complete,9/27 11:00AM,-
Cycle Interrupted,9/27 10:59AM,-
Clean Cycle In Progress,9/27 10:58AM,-
Pet Weight Recorded ,9/27 10:39AM,14.9 lbs
Cat Detected,9/27 10:36AM,-
Clean Cycle Complete,9/27 10:30AM,-
Clean Cycle In Progress,9/27 10:28AM,-
Pet Weight Recorded ,9/27 10:13AM,19.4 lbs
Pet Weight Recorded ,9/27 10:12AM,19.3 lbs
Pet Weight Recorded ,9/27 9:54AM,9.3 lbs
Cat Detected,9/27 9:53AM,-
Clean Cycle Complete,9/27 12:30AM,-
Pet Weight Recorded ,9/27 12:29AM,15.3 lbs
Cycle Interrupted,9/27 12:29AM,-
Clean Cycle In Progress,9/27 12:27AM,-
Pet Weight Recorded ,9/27 12:11AM,12.1 lbs
Cat Detected,9/27 12:11AM,-
Clean Cycle Complete,9/27 12:10AM,-
Clean Cycle In Progress,9/27 12:08AM,-
Pet Weight Recorded ,9/26 11:53PM,9.3 lbs
Cat Detected,9/26 11:52PM,-
Clean Cycle Complete,9/26 11:50PM,-
Clean Cycle In Progress,9/26 11:47PM,-
Pet Weight Recorded ,9/26 11:32PM,15.2 lbs
Cat Detected,9/26 11:31PM,-
Clean Cycle Complete,9/26 11:01PM,-
Clean Cycle In Progress,9/26 10:58PM,-
Pet Weight Recorded ,9/26 10:43PM,15.2 lbs
Cat Detected,9/26 10:41PM,-
Clean Cycle Complete,9/26 7:43PM,-
Clean Cycle In Progress,9/26 7:41PM,-
Pet Weight Recorded ,9/26 7:26PM,9.3 lbs
Cat Detected,9/26 7:25PM,-
Clean Cycle Complete,9/26 4:00PM,-
Clean Cycle In Progress,9/26 3:58PM,-
Pet Weight Recorded ,9/26 3:43PM,9.2 lbs
Cat Detected,9/26 3:36PM,-
Clean Cycle Complete,9/26 11:16AM,-
Clean Cycle In Progress,9/26 11:14AM,-
Pet Weight Recorded ,9/26 10:59AM,4.5 lbs
Pet Weight Recorded ,9/26 10:56AM,9.2 lbs
Cat Detected,9/26 10:53AM,-
Clean Cycle Complete,9/26 10:38AM,-
Cycle Interrupted,9/26 10:35AM,-
Clean Cycle In Progress,9/26 10:35AM,-
Pet Weight Recorded ,9/26 10:17AM,4.4 lbs
Cat Detected,9/26 10:16AM,-
Clean Cycle Complete,9/26 7:57AM,-
Cycle Interrupted,9/26 7:55AM,-
Clean Cycle In Progress,9/26 7:54AM,-
Pet Weight Recorded ,9/26 7:39AM,19.5 lbs
Pet Weight Recorded ,9/26 7:38AM,19.4 lbs
Cat Detected,9/26 7:36AM,-
Clean Cycle Complete,9/26 7:17AM,-
Clean Cycle In Progress,9/26 7:15AM,-
Pet Weight Recorded ,9/26 6:55AM,12.0 lbs
Cat Detected,9/26 6:53AM,-
Clean Cycle Complete,9/26 6:25AM,-
Clean Cycle In Progress,9/26 6:22AM,-
Pet Weight Recorded ,9/26 6:07AM,15.3 lbs
Cat Detected,9/26 6:06AM,-
Clean Cycle Complete,9/26 4:21AM,-
Clean Cycle In Progress,9/26 4:19AM,-
Pet Weight Recorded ,9/26 4:04AM,9.3 lbs
Cat Detected,9/26 4:03AM,-
Clean Cycle Complete,9/25 11:53PM,-
Clean Cycle In Progress,9/25 11:51PM,-
Pet Weight Recorded ,9/25 11:36PM,15.4 lbs
Cat Detected,9/25 11:34PM,-
Clean Cycle Complete,9/25 8:21PM,-
Clean Cycle In Progress,9/25 8:19PM,-
Pet Weight Recorded ,9/25 8:04PM,9.3 lbs
Cat Detected,9/25 8:03PM,-
Cat Detected,9/25 3:34PM,-
Clean Cycle Complete,9/25 11:58AM,-
Clean Cycle In Progress,9/25 11:56AM,-
Pet Weight Recorded ,9/25 11:41AM,9.2 lbs
Cat Detected,9/25 11:39AM,-
Clean Cycle Complete,9/25 10:54AM,-
Clean Cycle In Progress,9/25 10:52AM,-
Pet Weight Recorded ,9/25 10:37AM,19.9 lbs
Pet Weight Recorded ,9/25 10:36AM,20.0 lbs
Pet Weight Recorded ,9/25 10:33AM,15.3 lbs
Cat Detected,9/25 10:29AM,-
Clean Cycle Complete,9/25 6:00AM,-
Clean Cycle In Progress,9/25 5:58AM,-
Pet Weight Recorded ,9/25 5:43AM,9.2 lbs
Cat Detected,9/25 5:39AM,-
Clean Cycle Complete,9/24 7:26PM,-
Pet Weight Recorded ,9/24 7:26PM,15.2 lbs
Cycle Interrupted,9/24 7:25PM,-
Cycle Interrupted,9/24 7:24PM,-
Clean Cycle In Progress,9/24 7:23PM,-
Pet Weight Recorded ,9/24 7:08PM,15.3 lbs
Pet Weight Recorded ,9/24 6:59PM,9.3 lbs
Cat Detected,9/24 6:52PM,-
Clean Cycle Complete,9/24 2:53PM,-
Pet Weight Recorded ,9/24 2:52PM,6.2 lbs
Cycle Interrupted,9/24 2:52PM,-
Clean Cycle In Progress,9/24 2:50PM,-
Pet Weight Recorded ,9/24 2:30PM,4.0 lbs
Cat Detected,9/24 2:29PM,-
Clean Cycle Complete,9/24 11:22AM,-
Clean Cycle In Progress,9/24 11:20AM,-
Pet Weight Recorded ,9/24 11:05AM,9.3 lbs
Cat Detected,9/24 11:04AM,-
Clean Cycle Complete,9/24 9:30AM,-
Cycle Interrupted,9/24 9:28AM,-
Clean Cycle In Progress,9/24 9:28AM,-
Pet Weight Recorded ,9/24 9:13AM,19.2 lbs
Pet Weight Recorded ,9/24 9:11AM,19.3 lbs
Cat Detected,9/24 9:10AM,-
Clean Cycle Complete,9/24 5:10AM,-
Cycle Interrupted,9/24 5:08AM,-
Clean Cycle In Progress,9/24 5:07AM,-
Pet Weight Recorded ,9/24 4:52AM,9.3 lbs
Cat Detected,9/24 4:50AM,-
Clean Cycle Complete,9/23 7:14PM,-
Pet Weight Recorded ,9/23 7:13PM,15.4 lbs
Cycle Interrupted,9/23 7:13PM,-
Clean Cycle In Progress,9/23 7:11PM,-
Pet Weight Recorded ,9/23 6:56PM,15.4 lbs
Pet Weight Recorded ,9/23 6:42PM,15.3 lbs
Pet Weight Recorded ,9/23 6:33PM,9.3 lbs
Cat Detected,9/23 6:32PM,-
Clean Cycle Complete,9/23 5:09PM,-
Clean Cycle In Progress,9/23 5:07PM,-
Cat Detected,9/23 4:52PM,-
Clean Cycle Complete,9/23 3:13PM,-
Clean Cycle In Progress,9/23 3:10PM,-
Cat Detected,9/23 2:55PM,-
Clean Cycle Complete,9/23 1:11PM,-
Clean Cycle In Progress,9/23 1:09PM,-
Pet Weight Recorded ,9/23 12:54PM,15.2 lbs
Cat Detected,9/23 12:52PM,-
Clean Cycle Complete,9/23 11:14AM,-
Clean Cycle In Progress,9/23 11:12AM,-
Pet Weight Recorded ,9/23 10:57AM,9.3 lbs
Cat Detected,9/23 10:56AM,-
Clean Cycle Complete,9/23 10:50AM,-
Clean Cycle In Progress,9/23 10:48AM,-
Pet Weight Recorded ,9/23 10:20AM,19.2 lbs
Pet Weight Recorded ,9/23 10:19AM,19.3 lbs
Cat Detected,9/23 10:18AM,-
Clean Cycle Complete,9/23 7:50AM,-
Clean Cycle In Progress,9/23 7:48AM,-
Cat Detected,9/23 7:32AM,-
Clean Cycle Complete,9/23 7:02AM,-
Clean Cycle In Progress,9/23 7:00AM,-
Cat Detected,9/23 6:45AM,-
Clean Cycle Complete,9/23 6:35AM,-
Clean Cycle In Progress,9/23 6:33AM,-
Cat Detected,9/23 6:17AM,-
Clean Cycle Complete,9/23 6:13AM,-
Clean Cycle In Progress,9/23 6:10AM,-
Pet Weight Recorded ,9/23 5:55AM,9.2 lbs
Cat Detected,9/23 5:55AM,-
