Activity,Timestamp,Value
Clean Cycle Complete,5/28 2:33PM,-
Clean Cycle In Progress,5/28 2:31PM,-
Pet Weight Recorded ,5/28 2:05PM,19.4 lbs
Cat Detected,5/28 2:03PM,-
Clean Cycle Complete,5/28 11:50AM,-
Cycle Interrupted,5/28 11:48AM,-
Clean Cycle In Progress,5/28 11:47AM,-
Pet Weight Recorded ,5/28 11:19AM,9.3 lbs
Cat Detected,5/28 11:16AM,-
Clean Cycle Complete,5/28 8:15AM,-
Pet Weight Recorded ,5/28 8:13AM,14.3 lbs
Cycle Interrupted,5/28 8:10AM,-
Pet Weight Recorded ,5/28 8:10AM,14.2 lbs
Cycle Interrupted,5/28 8:06AM,-
Clean Cycle In Progress,5/28 8:06AM,-
Cat Detected,5/28 7:41AM,-
Clean Cycle Complete,5/28 6:58AM,-
Clean Cycle In Progress,5/28 6:56AM,-
Pet Weight Recorded ,5/28 6:30AM,9.3 lbs
Cat Detected,5/28 6:28AM,-
Clean Cycle Complete,5/28 2:40AM,-
Clean Cycle In Progress,5/28 2:38AM,-
Pet Weight Recorded ,5/28 2:13AM,9.2 lbs
Cat Detected,5/28 2:13AM,-
Clean Cycle Complete,5/28 1:42AM,-
Cycle Interrupted,5/28 1:41AM,-
Clean Cycle In Progress,5/28 1:39AM,-
Pet Weight Recorded ,5/28 1:13AM,9.3 lbs
Pet Weight Recorded ,5/28 12:59AM,2.6 lbs
Cat Detected,5/28 12:59AM,-
Clean Cycle Complete,5/28 12:29AM,-
Clean Cycle In Progress,5/28 12:27AM,-
Cat Detected,5/28 12:02AM,-
Clean Cycle Complete,5/27 8:45PM,-
Cycle Interrupted,5/27 8:44PM,-
Pet Weight Recorded ,5/27 8:43PM,7.1 lbs
Cycle Interrupted,5/27 8:42PM,-
Clean Cycle In Progress,5/27 8:41PM,-
Pet Weight Recorded ,5/27 8:16PM,9.3 lbs
Cat Detected,5/27 8:14PM,-
Clean Cycle Complete,5/27 5:06PM,-
Cycle Interrupted,5/27 5:04PM,-
Clean Cycle In Progress,5/27 5:03PM,-
Cat Detected,5/27 4:38PM,-
Clean Cycle Complete,5/27 3:30PM,-
Clean Cycle In Progress,5/27 3:28PM,-
Pet Weight Recorded ,5/27 2:24PM,9.3 lbs
Pet Weight Recorded ,5/27 2:15PM,19.4 lbs
Cat Detected,5/27 2:14PM,-
Clean Cycle Complete,5/27 2:11PM,-
Pet Weight Recorded ,5/27 2:09PM,9.2 lbs
Cycle Interrupted,5/27 2:07PM,-
Clean Cycle In Progress,5/27 2:07PM,-
Pet Weight Recorded ,5/27 1:21PM,19.3 lbs
Cat Detected,5/27 1:02PM,-
Clean Cycle Complete,5/27 10:13AM,-
Clean Cycle In Progress,5/27 10:10AM,-
Pet Weight Recorded ,5/27 9:45AM,14.1 lbs
Pet Weight Recorded ,5/27 9:29AM,7.6 lbs
Cat Detected,5/27 9:29AM,-
Clean Cycle Complete,5/27 8:34AM,-
Clean Cycle In Progress,5/27 8:32AM,-
Pet Weight Recorded ,5/27 8:07AM,9.3 lbs
Pet Weight Recorded ,5/27 7:45AM,6.9 lbs
Pet Weight Recorded ,5/27 7:40AM,19.2 lbs
Cat Detected,5/27 7:37AM,-
Clean Cycle Complete,5/27 6:52AM,-
Clean Cycle In Progress,5/27 6:50AM,-
Pet Weight Recorded ,5/27 6:34AM,19.4 lbs
Pet Weight Recorded ,5/27 6:29AM,6.8 lbs
Pet Weight Recorded ,5/27 6:28AM,19.5 lbs
Pet Weight Recorded ,5/27 6:26AM,14.1 lbs
Pet Weight Recorded ,5/27 6:21AM,9.2 lbs
Cat Detected,5/27 6:19AM,-
Clean Cycle Complete,5/27 5:04AM,-
Cycle Interrupted,5/27 5:02AM,-
Clean Cycle In Progress,5/27 5:02AM,-
Pet Weight Recorded ,5/27 4:37AM,14.1 lbs
Cat Detected,5/27 4:36AM,-
Clean Cycle Complete,5/27 3:40AM,-
Cycle Interrupted,5/27 3:38AM,-
Clean Cycle In Progress,5/27 3:38AM,-
Pet Weight Recorded ,5/27 3:13AM,14.1 lbs
Pet Weight Recorded ,5/27 3:04AM,9.2 lbs
Cat Detected,5/27 3:03AM,-
Clean Cycle Complete,5/26 7:16PM,-
Clean Cycle In Progress,5/26 7:14PM,-
Pet Weight Recorded ,5/26 6:49PM,9.3 lbs
Cat Detected,5/26 6:46PM,-
Clean Cycle Complete,5/26 1:53PM,-
Clean Cycle In Progress,5/26 1:51PM,-
Pet Weight Recorded ,5/26 1:26PM,6.4 lbs
Pet Weight Recorded ,5/26 1:25PM,9.2 lbs
Cat Detected,5/26 1:22PM,-
Clean Cycle Complete,5/26 12:42PM,-
Clean Cycle In Progress,5/26 12:40PM,-
Pet Weight Recorded ,5/26 12:02PM,14.2 lbs
Pet Weight Recorded ,5/26 11:55AM,9.3 lbs
Cat Detected,5/26 11:54AM,-
Clean Cycle Complete,5/26 10:40AM,-
Clean Cycle In Progress,5/26 10:38AM,-
Pet Weight Recorded ,5/26 10:13AM,6.3 lbs
Cat Detected,5/26 10:12AM,-
Clean Cycle Complete,5/26 8:32AM,-
Pet Weight Recorded ,5/26 8:31AM,6.4 lbs
Cycle Interrupted,5/26 8:31AM,-
Cycle Interrupted,5/26 8:30AM,-
Pet Weight Recorded ,5/26 8:30AM,6.3 lbs
Cycle Interrupted,5/26 8:29AM,-
Clean Cycle In Progress,5/26 8:28AM,-
Cat Detected,5/26 8:03AM,-
Clean Cycle Complete,5/26 4:15AM,-
Clean Cycle In Progress,5/26 4:12AM,-
Pet Weight Recorded ,5/26 3:47AM,9.3 lbs
Cat Detected,5/26 3:46AM,-
Clean Cycle Complete,5/25 9:54PM,-
Clean Cycle In Progress,5/25 9:52PM,-
Cat Detected,5/25 9:27PM,-
Clean Cycle Complete,5/25 9:14PM,-
Cycle Interrupted,5/25 9:13PM,-
Clean Cycle In Progress,5/25 9:12PM,-
Pet Weight Recorded ,5/25 8:46PM,9.3 lbs
