Activity,Timestamp,Value
Cycle Interrupted,12/30 12:10AM,-
Pet Weight Recorded ,12/30 12:10AM,15.8 lbs
Cycle Interrupted,12/30 12:09AM,-
Clean Cycle In Progress,12/30 12:07AM,-
Pet Weight Recorded ,12/30 12:04AM,19.3 lbs
Cat Detected,12/30 12:04AM,-
Clean Cycle Complete,12/29 10:10PM,-
Clean Cycle In Progress,12/29 10:07PM,-
Cat Detected,12/29 10:04PM,-
Clean Cycle Complete,12/29 9:21PM,-
Cycle Interrupted,12/29 9:20PM,-
Clean Cycle In Progress,12/29 9:19PM,-
Pet Weight Recorded ,12/29 9:16PM,19.2 lbs
Cat Detected,12/29 9:15PM,-
Clean Cycle Complete,12/29 7:33PM,-
Cycle Interrupted,12/29 7:31PM,-
Clean Cycle In Progress,12/29 7:30PM,-
Pet Weight Recorded ,12/29 7:27PM,8.7 lbs
Cat Detected,12/29 7:26PM,-
Clean Cycle Complete,12/29 6:03PM,-
Clean Cycle In Progress,12/29 6:01PM,-
Cat Detected,12/29 5:58PM,-
Clean Cycle Complete,12/29 4:37PM,-
Pet Weight Recorded ,12/29 4:35PM,7.1 lbs
Cycle Interrupted,12/29 4:34PM,-
Clean Cycle In Progress,12/29 4:33PM,-
Pet Weight Recorded ,12/29 4:30PM,18.7 lbs
Pet Weight Recorded ,12/29 4:27PM,3.5 lbs
Cat Detected,12/29 10:55AM,-
Clean Cycle Complete,12/29 10:55AM,-
Clean Cycle In Progress,12/29 10:53AM,-
Pet Weight Recorded ,12/29 10:49AM,8.8 lbs
Cat Detected,12/29 10:48AM,-
Clean Cycle Complete,12/29 10:35AM,-
Clean Cycle In Progress,12/29 10:33AM,-
Pet Weight Recorded ,12/29 10:30AM,18.9 lbs
Pet Weight Recorded ,12/29 10:28AM,19.1 lbs
Cat Detected,12/29 10:28AM,-
Clean Cycle Complete,12/29 9:48AM,-
Cycle Interrupted,12/29 9:46AM,-
Clean Cycle In Progress,12/29 9:45AM,-
Pet Weight Recorded ,12/29 9:42AM,19.1 lbs
Pet Weight Recorded ,12/29 9:41AM,19.2 lbs
Cat Detected,12/29 9:40AM,-
Clean Cycle Complete,12/29 9:25AM,-
Clean Cycle In Progress,12/29 9:23AM,-
Pet Weight Recorded ,12/29 9:20AM,19.0 lbs
Pet Weight Recorded ,12/29 9:19AM,19.2 lbs
Cat Detected,12/29 9:19AM,-
Clean Cycle Complete,12/29 7:44AM,-
Pet Weight Recorded ,12/29 7:44AM,15.9 lbs
Cycle Interrupted,12/29 7:43AM,-
Clean Cycle In Progress,12/29 7:41AM,-
