Activity,Timestamp,Value
Cat Detected,3/17 10:57AM,-
Clean Cycle Complete,3/17 10:42AM,-
Clean Cycle In Progress,3/17 10:40AM,-
Pet Weight Recorded ,3/17 10:15AM,17.8 lbs
Pet Weight Recorded ,3/17 10:02AM,17.5 lbs
Pet Weight Recorded ,3/17 9:59AM,17.7 lbs
Pet Weight Recorded ,3/17 9:50AM,17.8 lbs
Cat Detected,3/17 9:49AM,-
Clean Cycle Complete,3/17 9:39AM,-
Clean Cycle In Progress,3/17 9:37AM,-
Pet Weight Recorded ,3/17 9:12AM,8.4 lbs
Cat Detected,3/17 9:11AM,-
Clean Cycle Complete,3/17 8:48AM,-
Clean Cycle In Progress,3/17 8:46AM,-
Pet Weight Recorded ,3/17 8:21AM,15.9 lbs
Cat Detected,3/17 8:20AM,-
Clean Cycle Complete,3/17 4:48AM,-
Clean Cycle In Progress,3/17 4:46AM,-
Pet Weight Recorded ,3/17 4:21AM,8.4 lbs
Cat Detected,3/17 4:19AM,-
Clean Cycle Complete,3/17 1:36AM,-
Clean Cycle In Progress,3/17 1:34AM,-
Pet Weight Recorded ,3/17 1:09AM,17.9 lbs
Pet Weight Recorded ,3/17 12:55AM,17.9 lbs
Cat Detected,3/17 12:55AM,-
Clean Cycle Complete,3/17 12:36AM,-
Clean Cycle In Progress,3/17 12:34AM,-
Pet Weight Recorded ,3/17 12:09AM,16.1 lbs
Cat Detected,3/17 12:05AM,-
Clean Cycle Complete,3/17 12:01AM,-
Clean Cycle In Progress,3/16 11:59PM,-
Pet Weight Recorded ,3/16 11:34PM,17.9 lbs
Pet Weight Recorded ,3/16 11:28PM,17.9 lbs
Cat Detected,3/16 11:28PM,-
Clean Cycle Complete,3/16 10:35PM,-
Clean Cycle In Progress,3/16 10:33PM,-
Pet Weight Recorded ,3/16 10:08PM,17.8 lbs
Cat Detected,3/16 10:08PM,-
Clean Cycle Complete,3/16 8:09PM,-
Clean Cycle In Progress,3/16 8:07PM,-
Pet Weight Recorded ,3/16 7:42PM,8.5 lbs
Cat Detected,3/16 7:41PM,-
Clean Cycle Complete,3/16 6:36PM,-
Clean Cycle In Progress,3/16 6:34PM,-
Pet Weight Recorded ,3/16 6:09PM,18.0 lbs
Cat Detected,3/16 6:08PM,-
Clean Cycle Complete,3/16 12:42PM,-
Clean Cycle In Progress,3/16 12:40PM,-
Pet Weight Recorded ,3/16 12:15PM,17.8 lbs
Pet Weight Recorded ,3/16 11:57AM,17.9 lbs
Cat Detected,3/16 11:56AM,-
Clean Cycle Complete,3/16 11:39AM,-
Clean Cycle In Progress,3/16 11:37AM,-
Pet Weight Recorded ,3/16 11:12AM,8.4 lbs
Cat Detected,3/16 11:10AM,-
Clean Cycle Complete,3/16 10:59AM,-
Clean Cycle In Progress,3/16 10:57AM,-
Pet Weight Recorded ,3/16 10:32AM,17.7 lbs
Pet Weight Recorded ,3/16 10:18AM,15.9 lbs
Pet Weight Recorded ,3/16 10:17AM,8.2 lbs
Pet Weight Recorded ,3/16 10:10AM,8.3 lbs
Cat Detected,3/16 10:10AM,-
Clean Cycle Complete,3/16 9:52AM,-
Clean Cycle In Progress,3/16 9:49AM,-
Pet Weight Recorded ,3/16 9:24AM,17.9 lbs
Cat Detected,3/16 9:23AM,-
Clean Cycle Complete,3/16 7:39AM,-
Clean Cycle In Progress,3/16 7:37AM,-
Pet Weight Recorded ,3/16 7:12AM,8.4 lbs
Cat Detected,3/16 7:11AM,-
Clean Cycle Complete,3/16 2:34AM,-
Clean Cycle In Progress,3/16 2:31AM,-
Pet Weight Recorded ,3/16 2:06AM,18.1 lbs
Cat Detected,3/16 2:06AM,-
Clean Cycle Complete,3/16 1:57AM,-
Clean Cycle In Progress,3/16 1:55AM,-
Pet Weight Recorded ,3/16 1:30AM,15.7 lbs
Pet Weight Recorded ,3/16 1:18AM,17.8 lbs
Pet Weight Recorded ,3/16 1:02AM,17.8 lbs
Pet Weight Recorded ,3/16 12:49AM,17.8 lbs
Cat Detected,3/16 12:48AM,-
Clean Cycle Complete,3/16 12:01AM,-
Clean Cycle In Progress,3/15 11:59PM,-
Pet Weight Recorded ,3/15 11:34PM,18.0 lbs
Pet Weight Recorded ,3/15 11:21PM,15.9 lbs
Pet Weight Recorded ,3/15 11:11PM,17.7 lbs
Pet Weight Recorded ,3/15 10:49PM,17.9 lbs
Cat Detected,3/15 10:49PM,-
Clean Cycle Complete,3/15 10:23PM,-
Clean Cycle In Progress,3/15 10:20PM,-
Pet Weight Recorded ,3/15 9:55PM,17.7 lbs
Cat Detected,3/15 9:55PM,-
Clean Cycle Complete,3/15 6:51PM,-
Clean Cycle In Progress,3/15 6:49PM,-
Pet Weight Recorded ,3/15 6:24PM,17.9 lbs
Cat Detected,3/15 6:23PM,-
Clean Cycle Complete,3/15 6:05PM,-
Clean Cycle In Progress,3/15 6:03PM,-
Pet Weight Recorded ,3/15 5:38PM,8.9 lbs
Cat Detected,3/15 5:36PM,-
Clean Cycle Complete,3/15 3:42PM,-
Clean Cycle In Progress,3/15 3:40PM,-
Pet Weight Recorded ,3/15 3:14PM,17.7 lbs
Cat Detected,3/15 3:14PM,-
Clean Cycle Complete,3/15 2:19PM,-
Clean Cycle In Progress,3/15 2:17PM,-
Pet Weight Recorded ,3/15 1:52PM,8.4 lbs
Pet Weight Recorded ,3/15 1:44PM,18.0 lbs
Cat Detected,3/15 1:43PM,-
Clean Cycle Complete,3/15 11:44AM,-
Clean Cycle In Progress,3/15 11:42AM,-
Pet Weight Recorded ,3/15 11:17AM,18.0 lbs
Cat Detected,3/15 11:16AM,-
Clean Cycle Complete,3/15 11:12AM,-
Clean Cycle In Progress,3/15 11:10AM,-
Pet Weight Recorded ,3/15 10:45AM,18.0 lbs
Cat Detected,3/15 10:44AM,-
Clean Cycle Complete,3/15 10:43AM,-
Clean Cycle In Progress,3/15 10:40AM,-
Pet Weight Recorded ,3/15 10:15AM,8.6 lbs
Pet Weight Recorded ,3/15 10:09AM,18.0 lbs
Pet Weight Recorded ,3/15 9:57AM,18.0 lbs
Cat Detected,3/15 9:57AM,-
Clean Cycle Complete,3/15 9:44AM,-
Clean Cycle In Progress,3/15 9:42AM,-
Pet Weight Recorded ,3/15 9:17AM,17.9 lbs
Cat Detected,3/15 9:16AM,-
Clean Cycle Complete,3/15 8:19AM,-
Clean Cycle In Progress,3/15 8:16AM,-
Pet Weight Recorded ,3/15 7:51AM,16.1 lbs
Cat Detected,3/15 7:47AM,-
Clean Cycle Complete,3/15 5:52AM,-
Clean Cycle In Progress,3/15 5:50AM,-
Pet Weight Recorded ,3/15 5:25AM,8.7 lbs
Cat Detected,3/15 5:24AM,-
Clean Cycle Complete,3/15 3:04AM,-
Clean Cycle In Progress,3/15 3:02AM,-
Pet Weight Recorded ,3/15 2:37AM,17.9 lbs
Cat Detected,3/15 2:37AM,-
Clean Cycle Complete,3/15 2:19AM,-
Cycle Interrupted,3/15 2:18AM,-
Clean Cycle In Progress,3/15 2:16AM,-
Pet Weight Recorded ,3/15 1:51AM,17.9 lbs
Pet Weight Recorded ,3/15 1:34AM,17.8 lbs
Pet Weight Recorded ,3/15 1:26AM,17.9 lbs
Cat Detected,3/15 1:26AM,-
Clean Cycle Complete,3/15 1:13AM,-
Clean Cycle In Progress,3/15 1:10AM,-
Pet Weight Recorded ,3/15 12:45AM,16.1 lbs
Cat Detected,3/15 12:44AM,-
Clean Cycle Complete,3/15 12:20AM,-
Cycle Interrupted,3/15 12:18AM,-
Clean Cycle In Progress,3/15 12:17AM,-
Pet Weight Recorded ,3/15 12:14AM,17.9 lbs
Pet Weight Recorded ,3/14 11:52PM,18.0 lbs
Pet Weight Recorded ,3/14 11:47PM,17.9 lbs
Cat Detected,3/14 11:46PM,-
Clean Cycle Complete,3/14 11:31PM,-
Clean Cycle In Progress,3/14 11:29PM,-
Pet Weight Recorded ,3/14 11:04PM,17.5 lbs
Pet Weight Recorded ,3/14 11:03PM,18.1 lbs
Pet Weight Recorded ,3/14 10:59PM,8.7 lbs
Cat Detected,3/14 10:58PM,-
Clean Cycle Complete,3/14 9:10PM,-
Clean Cycle In Progress,3/14 9:08PM,-
Pet Weight Recorded ,3/14 8:43PM,18.0 lbs
Cat Detected,3/14 8:42PM,-
Clean Cycle Complete,3/14 6:17PM,-
Clean Cycle In Progress,3/14 6:15PM,-
Pet Weight Recorded ,3/14 5:50PM,8.5 lbs
Cat Detected,3/14 5:47PM,-
Clean Cycle Complete,3/14 3:30PM,-
Clean Cycle In Progress,3/14 3:27PM,-
Pet Weight Recorded ,3/14 3:02PM,18.0 lbs
Cat Detected,3/14 3:02PM,-
Clean Cycle Complete,3/14 3:02PM,-
Clean Cycle In Progress,3/14 2:59PM,-
Pet Weight Recorded ,3/14 2:34PM,18.0 lbs
Cat Detected,3/14 2:34PM,-
Clean Cycle Complete,3/14 12:51PM,-
Clean Cycle In Progress,3/14 12:49PM,-
Pet Weight Recorded ,3/14 12:24PM,8.5 lbs
Cat Detected,3/14 12:22PM,-
Clean Cycle Complete,3/14 12:05PM,-
Clean Cycle In Progress,3/14 12:03PM,-
Pet Weight Recorded ,3/14 11:38AM,18.0 lbs
Cat Detected,3/14 11:37AM,-
Clean Cycle Complete,3/14 11:37AM,-
Clean Cycle In Progress,3/14 11:35AM,-
Pet Weight Recorded ,3/14 11:10AM,16.8 lbs
Pet Weight Recorded ,3/14 11:07AM,18.1 lbs
Cat Detected,3/14 10:47AM,-
Clean Cycle Complete,3/14 10:40AM,-
Cycle Interrupted,3/14 10:38AM,-
Clean Cycle In Progress,3/14 10:37AM,-
Pet Weight Recorded ,3/14 10:12AM,18.3 lbs
Cat Detected,3/14 10:10AM,-
Clean Cycle Complete,3/14 10:05AM,-
Cycle Interrupted,3/14 10:02AM,-
Clean Cycle In Progress,3/14 10:02AM,-
Pet Weight Recorded ,3/14 9:37AM,17.8 lbs
Cat Detected,3/14 9:37AM,-
Clean Cycle Complete,3/14 9:34AM,-
Clean Cycle In Progress,3/14 9:32AM,-
Pet Weight Recorded ,3/14 9:07AM,17.4 lbs
Pet Weight Recorded ,3/14 9:04AM,18.0 lbs
Cat Detected,3/14 9:03AM,-
Clean Cycle Complete,3/14 8:05AM,-
Clean Cycle In Progress,3/14 8:03AM,-
Pet Weight Recorded ,3/14 7:38AM,16.1 lbs
Pet Weight Recorded ,3/14 7:20AM,8.6 lbs
Cat Detected,3/14 7:18AM,-
Clean Cycle Complete,3/14 2:43AM,-
Clean Cycle In Progress,3/14 2:40AM,-
Pet Weight Recorded ,3/14 2:15AM,8.9 lbs
Cat Detected,3/14 2:15AM,-
Clean Cycle Complete,3/14 2:08AM,-
Clean Cycle In Progress,3/14 2:06AM,-
Pet Weight Recorded ,3/14 1:41AM,17.7 lbs
Cat Detected,3/14 1:40AM,-
Clean Cycle Complete,3/14 1:13AM,-
Clean Cycle In Progress,3/14 1:11AM,-
Pet Weight Recorded ,3/14 12:45AM,17.9 lbs
Cat Detected,3/14 12:45AM,-
Clean Cycle Complete,3/13 11:59PM,-
Clean Cycle In Progress,3/13 11:57PM,-
Pet Weight Recorded ,3/13 11:32PM,15.9 lbs
Pet Weight Recorded ,3/13 11:29PM,15.6 lbs
Pet Weight Recorded ,3/13 11:05PM,17.8 lbs
Cat Detected,3/13 11:05PM,-
Clean Cycle Complete,3/13 9:43PM,-
Clean Cycle In Progress,3/13 9:41PM,-
Pet Weight Recorded ,3/13 9:15PM,18.0 lbs
Cat Detected,3/13 9:15PM,-
Clean Cycle Complete,3/13 8:50PM,-
Clean Cycle In Progress,3/13 8:47PM,-
Pet Weight Recorded ,3/13 8:22PM,17.3 lbs
Pet Weight Recorded ,3/13 7:59PM,17.0 lbs
Pet Weight Recorded ,3/13 7:57PM,17.2 lbs
Pet Weight Recorded ,3/13 7:56PM,8.1 lbs
Cat Detected,3/13 7:55PM,-
Clean Cycle Complete,3/13 6:23PM,-
Clean Cycle In Progress,3/13 6:20PM,-
Pet Weight Recorded ,3/13 5:55PM,17.3 lbs
Cat Detected,3/13 5:55PM,-
Clean Cycle Complete,3/13 2:14PM,-
Clean Cycle In Progress,3/13 2:12PM,-
Pet Weight Recorded ,3/13 1:47PM,18.1 lbs
Cat Detected,3/13 1:47PM,-
Clean Cycle Complete,3/13 12:49PM,-
Clean Cycle In Progress,3/13 12:47PM,-
Pet Weight Recorded ,3/13 12:22PM,9.1 lbs
Cat Detected,3/13 12:19PM,-
Clean Cycle Complete,3/13 12:04PM,-
Clean Cycle In Progress,3/13 12:02PM,-
Pet Weight Recorded ,3/13 11:37AM,18.0 lbs
Cat Detected,3/13 11:36AM,-
Clean Cycle Complete,3/13 11:27AM,-
Clean Cycle In Progress,3/13 11:25AM,-
Pet Weight Recorded ,3/13 11:00AM,18.3 lbs
Pet Weight Recorded ,3/13 10:45AM,17.8 lbs
Pet Weight Recorded ,3/13 10:32AM,17.9 lbs
Cat Detected,3/13 10:31AM,-
Clean Cycle Complete,3/13 9:55AM,-
Clean Cycle In Progress,3/13 9:53AM,-
Pet Weight Recorded ,3/13 9:28AM,17.9 lbs
Cat Detected,3/13 9:28AM,-
Clean Cycle Complete,3/13 9:06AM,-
Clean Cycle In Progress,3/13 9:04AM,-
Pet Weight Recorded ,3/13 8:39AM,8.5 lbs
Cat Detected,3/13 8:38AM,-
Clean Cycle Complete,3/13 2:51AM,-
Clean Cycle In Progress,3/13 2:48AM,-
Pet Weight Recorded ,3/13 2:23AM,18.1 lbs
Pet Weight Recorded ,3/13 1:59AM,18.0 lbs
Cat Detected,3/13 1:59AM,-
Clean Cycle Complete,3/13 1:57AM,-
Clean Cycle In Progress,3/13 1:55AM,-
Pet Weight Recorded ,3/13 1:30AM,16.1 lbs
Cat Detected,3/13 1:28AM,-
Clean Cycle Complete,3/13 1:26AM,-
Clean Cycle In Progress,3/13 1:23AM,-
Pet Weight Recorded ,3/13 12:58AM,18.2 lbs
Pet Weight Recorded ,3/13 12:42AM,18.3 lbs
Cat Detected,3/13 12:41AM,-
Clean Cycle Complete,3/13 12:05AM,-
Clean Cycle In Progress,3/13 12:02AM,-
Pet Weight Recorded ,3/12 11:37PM,16.0 lbs
Pet Weight Recorded ,3/12 11:33PM,17.7 lbs
Pet Weight Recorded ,3/12 11:12PM,8.5 lbs
Pet Weight Recorded ,3/12 10:58PM,17.9 lbs
Pet Weight Recorded ,3/12 10:57PM,18.1 lbs
Pet Weight Recorded ,3/12 10:40PM,18.1 lbs
Cat Detected,3/12 10:37PM,-
Clean Cycle Complete,3/12 8:56PM,-
Clean Cycle In Progress,3/12 8:54PM,-
Pet Weight Recorded ,3/12 8:28PM,15.4 lbs
Cat Detected,3/12 8:28PM,-
Clean Cycle Complete,3/12 4:13PM,-
Clean Cycle In Progress,3/12 4:11PM,-
Pet Weight Recorded ,3/12 3:46PM,18.2 lbs
Cat Detected,3/12 3:46PM,-
Clean Cycle Complete,3/12 3:46PM,-
