Activity,Timestamp,Value
Clean Cycle Complete,1/29 11:00PM,-
Pet Weight Recorded ,1/29 10:59PM,16.0 lbs
Cycle Interrupted,1/29 10:55PM,-
Cycle Interrupted,1/29 10:54PM,-
Clean Cycle In Progress,1/29 10:53PM,-
Pet Weight Recorded ,1/29 10:28PM,8.0 lbs
Cat Detected,1/29 10:27PM,-
Clean Cycle Complete,1/29 9:59PM,-
Clean Cycle In Progress,1/29 9:56PM,-
Pet Weight Recorded ,1/29 9:17PM,8.7 lbs
Pet Weight Recorded ,1/29 9:11PM,18.7 lbs
Cat Detected,1/29 9:10PM,-
Clean Cycle Complete,1/29 7:29PM,-
Clean Cycle In Progress,1/29 7:27PM,-
Pet Weight Recorded ,1/29 7:02PM,8.7 lbs
Cat Detected,1/29 6:59PM,-
Clean Cycle Complete,1/29 6:36PM,-
Clean Cycle In Progress,1/29 6:34PM,-
Pet Weight Recorded ,1/29 6:09PM,18.8 lbs
Cat Detected,1/29 6:08PM,-
Clean Cycle Complete,1/29 4:47PM,-
Cycle Interrupted,1/29 4:45PM,-
Clean Cycle In Progress,1/29 4:44PM,-
Pet Weight Recorded ,1/29 4:19PM,8.6 lbs
Pet Weight Recorded ,1/29 4:10PM,18.8 lbs
Cat Detected,1/29 4:09PM,-
Clean Cycle Complete,1/29 3:53PM,-
Cycle Interrupted,1/29 3:52PM,-
Cycle Interrupted,1/29 3:50PM,-
Cycle Interrupted,1/29 3:49PM,-
Clean Cycle In Progress,1/29 3:49PM,-
Pet Weight Recorded ,1/29 3:24PM,18.6 lbs
Cat Detected,1/29 3:23PM,-
Clean Cycle Complete,1/29 2:39PM,-
Clean Cycle In Progress,1/29 2:37PM,-
Pet Weight Recorded ,1/29 2:12PM,8.7 lbs
Cat Detected,1/29 2:11PM,-
Clean Cycle Complete,1/29 12:34PM,-
Clean Cycle In Progress,1/29 12:32PM,-
Pet Weight Recorded ,1/29 12:06PM,18.7 lbs
Cat Detected,1/29 12:06PM,-
Clean Cycle Complete,1/29 11:03AM,-
Cycle Interrupted,1/29 11:01AM,-
Cycle Interrupted,1/29 10:59AM,-
Cycle Interrupted,1/29 10:58AM,-
Clean Cycle In Progress,1/29 10:58AM,-
Pet Weight Recorded ,1/29 10:33AM,18.8 lbs
Pet Weight Recorded ,1/29 10:22AM,18.6 lbs
Cat Detected,1/29 10:21AM,-
Clean Cycle Complete,1/29 10:09AM,-
Cycle Interrupted,1/29 10:08AM,-
Cycle Interrupted,1/29 10:07AM,-
Cycle Interrupted,1/29 10:06AM,-
Cycle Interrupted,1/29 10:05AM,-
Cycle Interrupted,1/29 10:04AM,-
Clean Cycle In Progress,1/29 10:04AM,-
Pet Weight Recorded ,1/29 9:39AM,18.9 lbs
Pet Weight Recorded ,1/29 9:20AM,18.7 lbs
Pet Weight Recorded ,1/29 9:15AM,18.8 lbs
Cat Detected,1/29 9:14AM,-
Clean Cycle Complete,1/29 8:56AM,-
Pet Weight Recorded ,1/29 8:55AM,15.9 lbs
Pet Weight Recorded ,1/29 8:54AM,5.8 lbs
Cycle Interrupted,1/29 8:54AM,-
Cycle Interrupted,1/29 8:53AM,-
Pet Weight Recorded ,1/29 8:53AM,11.0 lbs
Cycle Interrupted,1/29 8:52AM,-
Cycle Interrupted,1/29 8:51AM,-
Clean Cycle In Progress,1/29 8:50AM,-
Pet Weight Recorded ,1/29 8:25AM,18.8 lbs
Pet Weight Recorded ,1/29 8:15AM,8.8 lbs
Cat Detected,1/29 8:15AM,-
Clean Cycle Complete,1/29 7:22AM,-
Clean Cycle In Progress,1/29 7:19AM,-
Pet Weight Recorded ,1/29 6:54AM,19.0 lbs
Pet Weight Recorded ,1/29 6:36AM,19.0 lbs
Pet Weight Recorded ,1/29 6:09AM,18.8 lbs
Pet Weight Recorded ,1/29 5:58AM,15.9 lbs
Pet Weight Recorded ,1/29 5:50AM,8.8 lbs
Cat Detected,1/29 5:49AM,-
Clean Cycle Complete,1/29 2:49AM,-
Clean Cycle In Progress,1/29 2:47AM,-
Pet Weight Recorded ,1/29 2:22AM,15.8 lbs
Pet Weight Recorded ,1/29 2:10AM,18.6 lbs
Cat Detected,1/29 2:10AM,-
Cat Detected,1/28 4:25PM,-
Clean Cycle Complete,1/28 4:19PM,-
Cycle Interrupted,1/28 4:16PM,-
Pet Weight Recorded ,1/28 4:15PM,15.8 lbs
Cycle Interrupted,1/28 4:14PM,-
Clean Cycle In Progress,1/28 4:14PM,-
Pet Weight Recorded ,1/28 3:47PM,18.9 lbs
Cat Detected,1/28 3:46PM,-
Clean Cycle Complete,1/28 3:05PM,-
Cat Detected,1/28 2:41PM,-
Clean Cycle Complete,1/28 2:10PM,-
Clean Cycle Complete,1/28 2:06PM,-
Clean Cycle Complete,1/28 1:16PM,-
Cycle Interrupted,1/28 1:15PM,-
Cycle Interrupted,1/28 1:14PM,-
Cycle Interrupted,1/28 1:13PM,-
Clean Cycle In Progress,1/28 1:12PM,-
Pet Weight Recorded ,1/28 12:47PM,8.7 lbs
Pet Weight Recorded ,1/28 12:42PM,8.8 lbs
Pet Weight Recorded ,1/28 12:18PM,18.7 lbs
Pet Weight Recorded ,1/28 12:08PM,18.8 lbs
Cat Detected,1/28 12:07PM,-
Clean Cycle Complete,1/28 11:42AM,-
Cycle Interrupted,1/28 11:40AM,-
Cycle Interrupted,1/28 11:39AM,-
Clean Cycle In Progress,1/28 11:39AM,-
Pet Weight Recorded ,1/28 11:14AM,8.6 lbs
Pet Weight Recorded ,1/28 11:10AM,18.8 lbs
Cat Detected,1/28 11:09AM,-
Clean Cycle Complete,1/28 10:21AM,-
Clean Cycle In Progress,1/28 10:18AM,-
Pet Weight Recorded ,1/28 9:53AM,18.4 lbs
Pet Weight Recorded ,1/28 9:52AM,18.8 lbs
Cat Detected,1/28 9:51AM,-
Clean Cycle Complete,1/28 9:31AM,-
Clean Cycle In Progress,1/28 9:28AM,-
Cat Detected,1/28 3:12AM,-
Clean Cycle Complete,1/28 3:08AM,-
Cycle Interrupted,1/28 3:06AM,-
Pet Weight Recorded ,1/26 12:42AM,18.6 lbs
Pet Weight Recorded ,1/26 12:41AM,18.8 lbs
Pet Weight Recorded ,1/26 12:36AM,18.9 lbs
Clean Cycle Complete,1/26 12:29AM,-
Pet Weight Recorded ,1/26 12:28AM,16.0 lbs
Cycle Interrupted,1/26 12:28AM,-
Clean Cycle In Progress,1/26 12:26AM,-
Pet Weight Recorded ,1/26 12:01AM,16.0 lbs
Pet Weight Recorded ,1/25 11:59PM,18.7 lbs
Clean Cycle Complete,1/25 10:03PM,-
Clean Cycle In Progress,1/25 10:01PM,-
Pet Weight Recorded ,1/25 9:36PM,16.1 lbs
Pet Weight Recorded ,1/25 9:35PM,15.9 lbs
Pet Weight Recorded ,1/25 9:24PM,18.6 lbs
Cat Detected,1/25 9:24PM,-
Clean Cycle Complete,1/25 4:47PM,-
Clean Cycle In Progress,1/25 4:44PM,-
Pet Weight Recorded ,1/25 4:19PM,9.0 lbs
Cat Detected,1/25 4:18PM,-
Clean Cycle Complete,1/25 4:05PM,-
Clean Cycle In Progress,1/25 4:02PM,-
Pet Weight Recorded ,1/25 3:37PM,18.6 lbs
Cat Detected,1/25 3:37PM,-
Clean Cycle Complete,1/25 2:53PM,-
Clean Cycle In Progress,1/25 2:50PM,-
Pet Weight Recorded ,1/25 2:25PM,18.8 lbs
Pet Weight Recorded ,1/25 2:24PM,18.9 lbs
Cat Detected,1/25 2:23PM,-
Clean Cycle Complete,1/25 12:48PM,-
Clean Cycle Complete,1/25 12:34PM,-
Cycle Interrupted,1/25 12:31PM,-
Cycle Interrupted,1/25 12:30PM,-
Cycle Interrupted,1/25 12:29PM,-
Clean Cycle In Progress,1/25 12:29PM,-
Pet Weight Recorded ,1/25 12:28PM,15.8 lbs
Pet Weight Recorded ,1/25 12:11PM,8.9 lbs
Cat Detected,1/25 12:08PM,-
Clean Cycle Complete,1/25 11:45AM,-
